market;funding_total_usd;status;country_code;city;funding_rounds;founded_year;seed;venture;equity_crowdfunding;undisclosed;convertible_note;debt_financing;angel;grant;private_equity;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H
470;41000000;0;112;170;5;2008;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
431;29750000;0;50;860;1;2006;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;1236454;0;53;3144;3;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;2800000;0;112;2560;2;2007;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
410;1464128;0;22;275;1;2004;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
200;6369507;0;49;1458;1;2012;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
51;5050000;0;112;3265;1;2013;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;100000000;0;22;275;2;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;15034750;0;112;747;6;1998;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
642;250000;0;52;3680;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;1610541;0;22;3390;2;2005;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;615000;0;95;3432;1;2009;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
59;111949900;0;112;2456;6;2006;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0
62;50000;0;19;3745;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;500000;0;112;3137;1;2007;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
624;400000;0;112;4064;1;2007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;16000000;0;112;564;1;2010;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
642;50000;0;112;3115;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;4000000;0;49;229;1;2001;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;200000;0;112;1689;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;2000000;0;22;275;1;2004;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200;118000;0;112;423;1;2012;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;5844811;0;112;2784;1;2008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703;1000000;0;52;1572;1;2009;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;3000000;0;103;231;3;2003;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
431;7000000;0;93;2440;2;2012;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
642;6785876;0;19;3745;1;2008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
642;383000;0;6;478;2;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
431;165000000;0;84;180;1;2009;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
642;250000;0;112;3278;1;2011;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
642;275000;0;112;2892;1;2008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
